St. Gregory the Great,,
St. Ambrose,,Augustine's inspiration
St. Augustine,,John's inspiration
St. Jerome,,
St. Thomas Aquinas,,Arnold's favorite Saint
St. John Chrysostom,,
St. Basil the Great,,
St. Gregory of Nazianzus,,
St. Athanasius,,
St. Bonaventure,,
St. Anselm,,
St. Isidore of Seville,,
St. Peter Chrysologus,,
St. Leo the Great,,
St. Peter Damian,,
St. Bernard of Clairvaux,,
St. Hilary of Poitiers,,
St. Alphonsus Liguori,,
St. Francis de Sales,,
St. Cyril of Alexandria,,
St. Cyril of Jerusalem,,
St. John Damascene,,
St. Bede the Venerable,,
St. Ephrem,,
St. Peter Canisius,,
St. John of the Cross,,
St. Robert Bellarmine,,
St. Albertus Magnus,,
St. Anthony of Lisbon and Padua,,
St. Lawrence of Brindisi,,
St. Teresa of Ávila,,
St. Catherine of Siena,,
St. Thérèse of Lisieux,,Louis's daughter
St. John of Ávila,,
St. Hildegard of Bingen,,
St. Gregory of Narek,,
